Geneid	Control_1	Control_2	Treated_1	Treated_2
NM_001272999.1	0	0	3	3
NM_134831.3	2	3	3	2
NM_134832.4	0	0	3	2
NM_164481.2	1	0	0	0
NM_001273003.1	0	0	1	0
NM_134834.3	1	0	2	0
NM_134835.2	6	8	12	14
NM_134838.4	12	4	44	30
NM_001103589.2	0	0	0	1
NM_001273012.1	0	0	2	2
NR_124031.1	2	0	6	16
NM_057963.5	0	2	25	47
NM_164485.2	0	0	0	1
NM_164486.2	2	2	26	33
NR_133065.2	0	0	2	0
NM_134843.3	0	0	2	0
NM_134845.2	0	0	2	0
NM_134846.3	0	0	0	1
NM_134847.3	2	2	14	4
NM_001273016.1	0	0	6	3
NM_078735.6	0	0	1	0
NM_205893.3	0	0	2	0
NM_080360.5	1	2	11	10
NM_164497.1	0	0	0	1
NM_134861.2	12	19	135	118
NM_001273030.1	0	0	2	1
NM_001273027.1	0	0	3	0
NM_001273028.1	0	1	1	1
NM_164498.3	21	37	337	346
NR_124037.1	0	0	0	2
NM_001273033.1	2	1	16	19
NM_001273034.1	2	6	10	2
NM_058070.6	6	26	68	74
NM_058115.5	20	28	84	92
NM_164500.2	0	0	2	0
NM_134868.2	0	0	2	4
NM_001370000.1	0	0	0	1
NM_078737.3	1	0	11	18
NM_134873.3	4	27	108	113
NM_164504.2	0	0	0	1
NM_134874.4	0	0	2	7
NR_124038.1	0	0	1	1
NM_134875.3	5	2	586	561
NM_134876.3	0	0	28	19
NM_134877.3	0	0	12	10
NM_134878.3	0	0	0	4
NM_134879.2	0	4	2	2
NM_134880.2	0	2	0	0
NM_078738.5	20	24	41	42
NM_001273041.1	6	1	6	7
NM_164509.3	0	0	3	2
NM_164510.3	0	0	10	5
NM_164511.2	312	322	3020	2963
NM_134883.2	0	0	2	6
NM_134885.4	77	130	433	465
NM_078739.3	10	22	70	84
NM_080155.3	16	28	204	183
NM_164514.3	0	0	0	1
NM_078740.3	0	0	0	2
NM_001144300.2	0	1	2	2
NM_001014462.3	8	18	82	87
NM_058019.4	0	0	3	2
NM_057456.4	8	28	152	184
NM_134887.4	0	0	7	3
NM_001273046.1	2	1	10	11
NM_058024.4	8	13	53	62
NM_057313.5	12	6	82	111
NM_001273047.1	1	0	0	0
NM_001144305.2	0	0	0	3
NM_164520.4	0	0	1	2
NM_134892.3	0	0	2	1
NM_001273049.1	0	0	1	1
NM_134893.4	8	15	200	199
NM_134894.4	36	39	266	225
NM_134896.5	4	2	49	47
NM_134899.3	1	0	1	0
NM_134900.3	0	1	1	0
NM_134901.2	6	4	51	38
NM_001273056.1	0	0	0	4
NM_001273057.2	8	11	74	67
NR_133066.1	0	0	5	4
NM_134904.3	8	1	19	13
NM_001144306.2	0	0	1	4
NM_001273058.1	0	13	34	46
NM_164526.2	0	0	2	0
NM_057805.3	5	8	31	25
NM_080208.3	0	0	1	0
NM_001273063.1	2	4	21	16
NM_057669.3	0	4	8	10
NM_078741.4	4	22	58	60
NM_134910.3	0	4	22	10
NM_134916.4	32	42	67	63
NM_134918.4	0	0	1	4
NM_134919.3	0	0	1	0
NM_205898.3	0	0	0	2
NM_134923.2	0	0	0	1
NM_134924.2	0	0	0	1
NM_205901.3	0	0	111	121
NM_001273067.1	0	0	1	0
NM_001273068.1	1	3	0	1
NM_078742.3	20	46	147	138
NM_001298655.1	0	0	1	3
NM_001103604.2	63	32	401	442
NM_134935.3	40	82	458	436
NM_134936.3	20	80	279	303
NM_134937.3	0	2	40	16
NM_078743.5	0	1	6	3
NM_164537.2	0	1	2	2
NM_164538.5	0	0	3	6
NM_164539.2	0	0	1	2
NR_124048.1	2	2	18	15
NR_124049.1	0	0	2	3
NM_057947.4	76	260	2960	3103
NM_134940.3	148	134	64	52
NM_001298660.1	0	1	2	1
NM_001273069.1	0	0	4	7
NM_134943.3	0	0	0	2
NM_134944.4	0	0	0	1
NM_134945.2	0	2	50	34
NM_134946.4	60	66	883	1034
NM_134947.2	11	10	75	71
NM_134948.2	2	4	0	0
NM_080527.3	5	1	7	8
NM_057534.4	21	36	56	74
NM_164546.2	4	12	15	22
NM_001298662.1	1	1	3	2
NM_134955.3	0	0	3	8
NM_134958.4	0	4	6	10
NM_001169392.2	0	0	2	0
NM_134959.2	25	7	19	15
NM_164550.2	0	8	54	57
NM_175955.3	2	12	86	97
NM_001298668.1	2	0	5	3
NM_001298669.1	2	2	21	24
NM_134960.4	26	26	207	256
NM_164553.2	2	0	14	14
NM_144380.2	4	0	4	4
NM_001273071.1	2	0	2	1
NM_001382005.1	0	3	2	4
NM_001382004.1	14	11	18	18
NM_001258934.1	0	1	3	1
NM_164558.2	3	0	6	0
NM_164556.2	0	1	6	4
NM_143795.4	17	16	29	39
NM_164561.3	4	2	3	2
NM_134965.3	12	14	68	64
NM_057382.3	0	2	8	4
NM_057486.4	0	6	22	18
NM_134967.4	8	4	46	46
NM_057618.3	2	4	2	7
NM_164566.3	0	0	7	14
NM_001144312.2	0	0	5	2
NM_134970.2	0	0	2	0
NM_134971.3	0	0	0	2
NR_124062.1	0	0	0	2
NM_080008.2	0	0	10	4
NM_001298670.1	0	1	5	2
NM_164571.2	1	0	2	2
NM_144384.3	12	26	153	188
NM_058149.4	16	40	470	392
NR_124063.1	0	2	5	5
NM_164577.3	0	0	4	4
NM_001103608.2	0	0	2	2
NR_124070.1	0	0	0	1
NR_124071.1	3	0	2	0
NM_058068.4	0	0	43	48
NM_134981.3	46	32	152	172
NM_134983.3	0	0	13	9
NM_134984.4	14	40	109	116
NM_164582.3	0	0	1	0
NM_001273094.1	3	0	4	1
NM_134986.3	6	18	44	36
NM_134988.2	0	0	0	2
NM_134989.3	19	33	78	108
NM_134990.3	11	30	171	156
NM_134991.3	25	26	103	97
NM_134992.3	18	42	246	270
NM_134993.2	12	32	150	142
NR_002508.1	0	0	4	2
NM_001273099.1	0	0	1	3
NM_134996.4	2	0	34	36
NM_134997.4	22	18	132	132
NM_057665.5	0	0	2	0
NM_057664.6	0	0	2	2
NM_175958.3	0	0	1	0
NM_135008.4	0	0	2	4
NM_175961.3	6	0	37	36
NM_175962.1	0	0	1	1
NM_135013.4	0	1	0	0
NM_001273117.1	0	0	5	5
NM_135015.2	6	30	594	462
NM_135016.3	4	5	27	21
NM_001273118.1	0	0	19	15
NM_001273119.1	0	0	5	2
NR_047890.1	0	0	1	0
NM_001273120.1	0	0	2	0
NM_135019.2	0	0	1	0
NM_164597.2	0	2	14	8
NM_135022.3	1	0	2	2
NM_164599.2	0	0	0	1
NM_001169403.2	2	2	13	25
NM_135023.2	8	20	69	74
NM_135024.2	30	30	206	210
NM_001258953.2	0	0	1	0
NM_001273127.1	0	0	6	10
NM_175963.3	6	0	11	12
NM_078750.4	1	2	7	6
NM_135027.4	66	102	769	806
NM_135029.3	35	72	111	95
NM_164602.2	0	0	5	3
NM_001103616.2	0	0	1	0
NM_135034.3	30	58	280	256
NM_135035.3	2	0	8	6
NM_078752.3	17	31	125	162
NM_080361.3	2	2	8	8
NM_135036.3	0	0	1	3
NM_001038784.2	2	0	0	0
NM_135039.2	4	2	78	76
NM_001042868.2	0	0	2	0
NM_001042869.3	23	24	118	140
NM_078754.4	305	538	2401	2377
NM_135040.4	32	38	129	86
NM_135041.3	12	9	114	97
NM_164605.3	0	0	0	2
NM_001273133.2	4	1	3	10
NM_135042.3	34	53	255	239
NM_135044.4	38	36	193	156
NM_135045.3	44	64	178	187
NM_135046.5	4	8	116	115
NM_205908.2	1	0	7	4
NM_175974.3	10	21	14	12
NM_175973.3	23	28	48	31
NM_175970.3	0	0	1	0
NM_175972.3	6	11	7	4
NM_001273141.1	0	0	1	0
NM_001273142.1	0	0	1	0
NM_164615.2	0	0	3	4
NM_164616.2	0	1	28	37
NM_001169413.1	0	0	0	1
NM_001273152.1	0	0	1	1
NM_001298681.1	0	0	2	1
NM_135058.4	14	24	69	62
NM_078755.3	0	0	0	1
NM_135060.4	10	20	193	179
NM_135061.4	446	466	2244	2121
NR_073722.1	1	0	0	0
NM_001201761.2	0	0	0	1
NM_001201762.1	1	1	6	6
NM_135062.4	6	5	15	5
NM_001042873.2	0	0	0	1
NM_001273156.2	0	2	0	3
NM_001298684.1	2	9	17	13
NM_001169414.2	0	0	24	22
NM_001201764.2	7	14	53	49
NR_003755.1	0	0	0	2
NM_135067.3	6	0	54	34
NM_135068.4	0	0	10	17
NM_001298687.1	0	0	1	0
NM_001298690.1	0	0	2	0
NM_175978.2	42	32	58	49
NM_135072.2	2	2	11	12
NM_135073.3	0	4	3	2
NM_135074.3	42	138	2481	2709
NM_001273164.2	0	0	2	3
NM_001298693.1	1	0	13	10
NM_001298694.1	0	0	6	8
NM_001298695.1	1	0	9	6
NM_001273165.2	0	0	8	1
NM_001258955.2	0	0	3	9
NM_001258957.2	3	5	3	2
NM_001258956.2	3	5	4	4
NM_135078.2	0	0	0	4
NM_135080.3	10	12	62	41
NM_135082.3	0	2	0	0
NM_001298698.1	0	1	4	0
NR_047895.1	0	0	2	2
NM_135083.4	2	4	11	8
NM_135085.3	45	52	179	194
NM_135086.4	0	0	1	1
NM_135087.3	26	20	249	195
NR_124091.1	0	0	1	0
NM_164644.3	10	22	50	39
NM_164645.3	2	8	77	99
NM_135090.4	35	64	174	189
NM_135092.2	0	0	2	2
NM_001273171.1	10	7	56	45
NM_001258967.2	2	0	1	0
NM_078760.3	82	133	176	179
NM_078761.3	32	66	111	83
NM_135102.3	0	0	0	2
NM_001298707.1	0	0	0	1
NM_001273174.1	4	0	6	6
NM_135110.1	0	0	1	0
NM_164659.3	338	231	85	83
NM_135113.3	1067	1295	133	127
NM_164660.4	0	0	0	1
NM_135115.4	0	0	4	3
NM_135116.4	12	16	126	100
NM_001298709.1	0	0	1	1
NM_135124.2	82	96	810	709
NM_001273184.2	0	0	1	3
NM_001273185.1	1	2	5	5
NM_135128.3	2	0	0	0
NM_135130.3	0	2	0	1
NM_135132.3	0	0	4	2
NM_205913.3	152	178	742	694
NM_134304.3	0	3	4	4
NM_164667.2	1	1	14	6
NM_001258976.2	0	0	9	12
NM_001258978.3	0	1	0	0
NM_164670.4	0	0	3	2
NM_057246.5	4	22	134	152
NM_001273189.1	0	0	5	1
NR_073730.1	2	1	0	0
NM_164672.3	0	0	2	0
NM_078764.3	2	2	20	18
NM_164673.3	0	0	3	5
NM_001298722.1	0	1	1	1
NM_135139.3	2	2	18	6
NM_164676.2	0	0	3	1
NM_057864.4	0	0	1	0
NR_047909.1	0	0	3	3
NM_001298724.1	1	0	6	2
NM_164679.2	0	0	1	0
NM_001298726.1	17	7	44	74
NM_135142.2	0	2	16	30
NM_001103626.3	0	0	0	1
NM_135145.2	36	89	160	153
NM_135147.3	0	4	4	1
NM_001169423.1	0	0	1	0
NR_073731.1	0	0	1	0
NR_124112.1	0	0	0	2
NM_058119.5	28	21	179	186
NM_135151.4	0	2	4	2
NM_164685.2	0	0	0	2
NM_001258983.2	0	0	0	2
NM_135152.4	37	58	278	312
NM_001298738.1	0	3	0	0
NM_135168.5	0	0	6	2
NM_001273197.1	11	5	49	67
NM_057810.4	20	23	80	68
NM_001273199.1	1	1	8	17
NM_164689.2	0	2	12	2
NM_001273201.1	2	0	0	0
NM_135171.3	0	0	0	4
NM_135173.2	0	0	2	0
NM_135175.3	4	2	88	92
NM_135176.3	0	0	3	1
NM_001144327.2	0	2	27	48
NM_135178.3	0	0	0	2
NM_135179.4	0	0	4	0
NM_135180.1	0	10	222	276
NM_135181.3	0	1	2	6
NM_135182.2	10	34	148	170
NM_001298742.1	3	2	13	20
NM_001144328.2	1	1	11	15
NM_001273202.2	0	0	0	1
NM_205915.3	0	0	0	3
NM_135185.4	0	0	0	1
NM_135186.2	10	14	45	46
NM_164690.2	2	11	10	7
NM_135189.4	0	2	1	3
NM_001298745.1	0	1	1	1
NM_135191.3	0	2	17	18
NM_001298747.1	2	0	1	1
NM_135193.3	42	70	222	200
NM_135194.3	6	8	30	42
NM_164692.3	2	2	2	12
NM_135196.3	6	24	240	286
NM_135199.3	1	2	1	2
NM_164693.2	0	3	0	0
NM_135201.2	0	0	4	0
NM_135202.2	2	8	5	7
NM_135204.3	0	0	1	0
NM_001298754.1	0	0	2	0
NM_135208.6	2	2	15	6
NM_164694.3	0	0	1	7
NM_164695.3	0	0	1	0
NM_001103630.2	2	0	7	3
NM_001103631.3	0	0	3	3
NM_135211.3	0	0	1	6
NM_164696.2	0	0	13	16
NM_164698.3	14	12	68	60
NM_135216.4	40	62	226	216
NM_001273214.1	0	0	10	9
NM_164701.2	6	5	19	30
NM_001273217.1	9	9	83	86
NM_135221.3	0	0	4	0
NM_078771.3	4	3	30	19
NM_135222.3	16	28	174	180
NM_001273221.1	14	7	103	89
NM_164707.3	0	0	3	0
NM_001273224.1	5	17	109	91
NM_135224.3	0	2	1	2
NM_001298759.1	17	45	105	110
NM_164708.2	0	0	3	6
NM_135227.1	2	0	2	0
NM_001273228.2	0	2	0	3
NM_135229.3	0	0	4	0
NM_057819.4	41	51	173	164
NM_164711.2	1	0	0	2
NM_001298763.1	2	0	0	4
NM_057866.3	4	10	44	60
NM_135235.3	38	28	670	594
NM_164717.2	0	0	0	4
NM_001258987.2	0	0	0	1
NM_135237.3	14	8	42	65
NM_001273239.2	0	0	0	2
NM_164719.2	2	0	0	0
NM_058064.5	50	48	561	626
NR_047915.1	0	0	1	1
NM_001258989.2	1	1	2	8
NM_164720.4	0	0	6	10
NM_001273242.1	0	2	6	13
NM_135242.3	6	6	48	53
NM_057920.4	36	43	338	329
NM_001298765.1	0	1	0	0
NM_080707.4	6	14	36	72
NM_135244.4	2	10	100	62
NM_164722.2	0	0	6	6
NM_001298768.1	0	0	0	2
NM_001273244.1	2	8	51	61
NM_135248.3	0	0	6	10
NM_001298769.1	0	0	1	3
NM_001014477.2	0	0	7	3
NM_057325.3	1074	933	12372	12484
NM_135249.3	6	12	52	48
NM_001258998.3	0	0	2	4
NM_001258999.2	8	10	73	87
NM_164738.3	1	0	1	7
NM_001042877.2	2	1	77	112
NM_144298.4	216	218	968	968
NM_135252.4	5	2	48	29
NM_135253.2	0	0	0	1
NR_124127.1	0	0	0	2
NM_001103639.4	0	0	2	0
NR_124128.1	0	0	0	1
NR_133069.1	0	0	0	1
NM_135256.3	8	20	75	77
NM_001103640.2	0	0	3	4
NM_135259.3	1	0	2	2
NM_164742.3	0	0	1	0
NM_135261.2	2	23	116	96
NM_164743.3	0	0	27	28
NM_001273252.1	0	0	10	10
NM_001273253.1	0	0	12	15
NM_001273250.1	0	0	1	0
NM_001273255.1	4	8	50	56
NM_001273256.1	0	0	3	5
NM_057624.4	0	0	0	2
NM_078778.5	2	4	16	10
NM_135265.5	0	0	0	2
NM_135266.4	47	58	240	207
NM_135267.3	0	0	0	2
NM_135268.3	0	0	2	1
NM_001201780.1	0	1	0	0
NM_001298780.2	1	1	0	0
NM_164748.3	13	7	1	1
NM_001273262.1	89	89	19	13
NM_135271.3	12	27	76	58
NM_135272.4	0	0	24	19
NR_073735.1	0	0	0	2
NM_135275.3	0	2	245	220
NM_001169430.3	4	2	15	12
NM_205920.3	0	0	0	1
NM_078781.3	0	0	2	0
NM_001014478.2	25	19	55	55
NM_001273279.1	0	0	0	2
NM_144299.3	0	0	29	23
NM_001103644.3	0	0	10	11
NR_073737.1	0	2	0	0
NM_135285.3	0	2	0	1
NM_001259002.1	0	0	1	2
NM_164763.2	3	0	13	13
NM_164762.2	0	4	11	21
NM_164764.2	5	4	16	19
NM_164761.2	1	1	12	18
NM_078782.3	0	0	1	4
NM_078783.3	278	403	1035	1111
NM_164765.4	0	0	1	0
NM_135292.3	0	0	0	2
NM_135293.3	0	3	4	3
NM_164771.4	0	0	4	4
NM_057431.3	0	0	4	0
NM_135304.3	34	64	283	309
NM_135305.4	0	1	1	3
NM_001298790.1	0	0	2	3
NR_124138.1	0	1	1	0
NM_135307.3	0	0	9	3
NM_135308.2	0	2	5	11
NM_001298792.1	6	6	16	18
NM_001169434.2	0	0	0	1
NM_001298793.1	0	4	66	48
NM_057270.5	5	2	111	121
NM_164773.3	0	0	2	0
NM_001273289.1	4	10	16	12
NM_001273288.1	13	18	213	182
NM_001298795.1	6	5	13	19
NM_001298798.1	0	0	0	1
NR_124140.1	0	1	0	0
NM_135316.3	2	6	42	40
NM_001298800.1	0	0	1	0
NM_135318.2	20	26	117	96
NM_001042879.2	16	14	89	66
NM_001042880.1	0	0	0	2
NM_001370007.1	0	0	0	2
NM_001103646.4	11	9	103	106
NM_135320.3	1	0	2	3
NM_164776.4	0	0	2	2
NM_164777.3	0	0	49	35
NM_001298802.1	0	0	1	1
NM_001144336.3	2	0	44	50
NM_001298805.1	0	0	2	0
NM_135327.4	0	0	1	1
NM_135328.3	38	65	280	280
NM_001038794.4	0	0	0	2
NM_135330.2	0	0	47	72
NM_164778.2	5	12	119	114
NM_135331.2	0	0	0	1
NM_001273291.1	1	0	10	3
NM_164780.3	0	1	3	2
NM_135334.5	8	14	20	30
NR_002512.2	2	0	1	1
NM_135336.4	0	0	17	8
NM_057638.4	0	0	1	0
NM_057591.4	2	6	34	38
NM_079949.3	134	213	1345	1352
NM_164787.2	0	0	0	5
NM_164790.3	0	1	1	0
NM_164789.3	2	0	0	1
NM_001038795.3	9	4	24	39
NM_001298811.1	0	1	1	0
NM_001201786.2	0	0	0	1
NM_001201785.1	0	1	10	18
NM_164791.4	0	0	0	1
NM_001298814.1	2	2	2	0
NM_135342.5	36	37	148	158
NM_001273297.1	0	0	1	2
NM_001042882.2	3	13	21	22
NM_001273301.1	0	4	2	12
NM_164797.3	9	7	43	40
NR_073739.2	0	0	2	0
NM_135346.4	22	16	136	152
NM_164798.3	0	0	1	1
NM_135348.3	37	40	50	64
NR_073740.1	0	3	8	12
NR_073741.1	0	0	0	1
NR_073742.1	0	0	0	1
NM_135349.3	0	0	2	6
NM_164799.2	4	5	16	11
NM_057788.4	10	28	130	128
NM_164800.2	1	0	6	4
NM_001273304.1	0	1	2	7
NM_135354.2	0	2	5	4
NM_205926.3	0	0	0	1
NM_001316386.1	0	0	3	1
NM_001273314.1	0	0	0	1
NM_001273315.1	0	0	1	0
NM_135358.2	52	62	228	272
NM_135359.3	24	28	123	108
NM_135360.4	111	122	350	322
NM_135361.3	33	42	96	79
NM_135362.4	3	8	49	80
NM_135363.3	81	102	968	881
NM_135365.3	20	13	141	112
NM_164807.2	5	5	1	1
NM_135368.3	0	0	6	8
NM_135369.3	0	0	1	0
NM_001298817.1	0	0	5	6
NM_164808.4	0	0	6	14
NM_001298818.1	0	1	0	3
NM_164809.5	20	16	88	86
NM_001298819.1	0	0	7	2
NM_001298820.1	2	3	4	2
NM_135373.3	10	18	113	130
NM_135374.3	8	18	44	56
NM_135375.4	10	14	95	100
NM_205934.3	0	0	0	3
NM_078787.4	1	0	5	9
NM_001273318.1	0	0	0	1
NM_135377.3	0	0	0	1
NM_135378.4	40	61	187	162
NR_124145.1	0	0	1	0
NM_080244.2	0	0	0	2
NM_164817.2	0	2	6	0
NR_124146.1	0	0	1	0
NM_164818.2	28	18	254	257
NM_001273322.2	2	1	7	10
NM_143788.4	0	2	5	8
NM_001273323.1	0	1	9	5
NM_001298823.1	1	0	5	10
NM_057220.3	110	125	663	642
NM_135384.3	6	10	142	128
NM_057298.4	4	4	60	48
NM_164821.3	0	2	2	10
NM_001201801.2	0	0	4	4
NM_175990.1	0	0	0	1
NM_001201800.1	8	2	12	14
NM_135390.4	4	8	49	75
NM_135393.3	20	20	214	186
NM_135394.3	26	26	136	146
NM_135395.3	4	8	58	60
NM_001273326.1	1	0	0	1
NM_001273329.1	1	1	5	2
NM_135398.3	2	4	18	23
NR_073745.1	0	0	1	2
NM_135400.2	0	0	2	2
NM_135401.2	0	2	0	2
NM_135402.3	122	180	300	320
NM_135403.2	22	16	76	106
NM_164834.2	1	1	21	16
NM_164833.2	0	1	10	7
NM_001298829.1	0	0	2	0
NM_001103656.3	6	6	50	76
NR_124147.1	6	7	19	21
NM_001298830.1	0	0	20	12
NM_001298831.1	12	13	190	234
NM_001169444.2	0	0	0	1
NM_135413.3	0	0	1	1
NM_164839.2	0	0	2	2
NM_135414.3	0	0	2	0
NM_001382136.1	0	0	4	2
NM_001201813.1	0	0	0	1
NM_135415.3	0	3	14	21
NM_175999.3	0	0	2	0
NM_176000.3	0	0	4	4
NM_001273343.1	0	0	1	2
NM_164841.2	0	0	1	0
NM_135423.4	0	0	8	4
NM_001201816.3	0	0	0	1
NM_176002.3	0	0	3	0
NM_135432.2	0	1	6	5
NM_001273350.1	0	0	1	0
NR_124159.1	0	0	3	0
NM_057599.4	2	6	88	75
NM_001298848.1	0	0	0	1
NM_001298851.1	0	0	13	10
NM_080166.4	46	60	294	272
NM_164855.2	0	6	15	6
NM_001032064.1	0	0	2	0
NM_001273362.1	1	9	28	33
NR_073747.1	0	0	0	2
NM_135448.3	0	0	0	2
NM_135450.3	4	8	48	60
NM_164858.2	5	0	26	50
NM_001103663.1	17	26	88	87
NM_001201829.2	1	7	4	2
NM_001201828.2	4	7	11	8
NM_164859.2	0	2	28	30
NM_135454.5	0	0	27	16
NM_135457.3	0	2	2	2
NM_164863.3	1	0	11	22
NM_001169451.2	0	1	3	5
NM_164865.2	0	0	0	1
NM_205948.3	0	2	47	47
NR_133075.1	0	1	2	2
NR_073749.2	0	0	2	1
NM_205950.3	0	1	2	2
NM_057629.4	2	0	6	1
NM_057634.5	47	46	373	372
NM_001273365.1	2	0	11	6
NM_001273366.1	0	0	17	15
NM_135461.4	232	370	4954	4946
NM_001273367.1	0	0	4	0
NM_001273369.2	0	0	24	21
NM_078803.2	2	25	21828	21593
NM_057953.5	40	78	398	380
NM_164871.3	18	20	92	118
NM_135464.3	0	0	4	2
NM_135469.4	12	14	129	137
NR_156764.1	1	0	0	0
NM_001298855.1	0	0	0	1
NM_001103664.2	7	5	126	106
NM_001103665.2	5	0	8	17
NM_135474.3	2	1	156	124
NR_001638.1	0	0	2	2
NR_001639.1	0	0	3	2
NR_001640.1	0	0	0	2
NR_001641.1	0	0	0	2
NM_080128.5	12	12	72	50
NM_001273374.2	0	0	1	2
NM_205954.5	0	0	0	4
NM_001169457.3	0	0	1	1
NM_176003.3	0	0	1	0
NM_135476.4	18	56	250	239
NM_057999.5	82	136	658	644
NM_078804.4	278	458	2137	2031
NM_135481.3	0	0	2	2
NM_001273379.1	16	22	162	202
NR_124166.1	0	0	0	1
NM_135485.7	1	0	0	2
NR_133076.1	0	0	5	0
NM_001298858.1	0	1	3	10
NM_001316389.1	0	0	1	1
NM_001298861.1	1	0	2	1
NM_078805.4	0	1	2	4
NM_001273383.2	0	0	9	10
NR_124168.1	0	0	4	2
NM_164884.1	0	0	0	1
NR_124169.1	0	1	1	4
NM_135495.3	222	390	37	38
NM_057693.5	32	32	414	402
NM_135497.3	2	9	44	40
NM_135499.3	2	4	30	22
NM_001042886.3	0	0	1	0
NM_135505.3	0	2	5	4
NM_001347812.1	26	16	164	168
NM_164891.2	2	0	0	2
NM_135507.3	6	10	150	200
NM_001298865.1	0	0	4	1
NM_001103667.3	83	107	299	339
NM_135509.3	66	92	813	657
NM_135510.3	7	20	135	96
NR_124173.1	0	0	4	6
NM_135511.4	16	18	122	140
NM_001201842.2	0	0	1	1
NM_001298868.1	0	0	19	12
NM_001298869.1	0	1	0	4
NM_001298870.1	0	0	2	5
NM_164894.2	3	2	12	14
NM_135517.4	9	12	54	48
NM_078809.4	23	11	62	68
NM_001273387.1	0	0	15	17
NM_164900.3	6	4	35	40
NM_001273388.1	1	1	21	30
NM_057614.3	1	0	25	30
NM_135518.3	125	176	964	943
NM_001169462.2	1	0	5	3
NM_001273389.1	10	11	83	64
NM_135520.4	14	22	98	108
NM_135521.6	10	42	134	148
NM_135522.4	8	16	46	56
NM_164906.3	18	25	92	61
NM_057419.3	0	0	72	62
NM_164907.4	1	1	23	14
NM_001038804.3	0	0	53	38
NM_135525.2	362	456	4665	4667
NM_135526.3	0	6	22	10
NM_164911.2	0	1	1	0
NM_001298872.1	0	0	6	6
NM_135531.3	76	84	248	258
NM_135532.2	26	36	232	283
NM_135534.3	52	54	275	254
NM_001273395.1	2	1	7	8
NM_001273393.1	0	0	2	2
NM_057679.5	38	68	215	198
NM_135538.3	32	40	150	154
NM_001273397.1	0	0	0	2
NM_001273398.1	2	8	30	55
NM_057875.5	38	42	216	200
NM_058130.6	1	0	0	0
NM_135540.2	0	0	6	6
NM_001273403.1	1	4	26	30
NM_001273404.1	0	0	0	3
NM_001273405.1	0	0	1	0
NM_135547.3	26	30	239	224
NM_205957.3	2	4	15	11
NM_001273406.1	1	0	0	1
NM_135549.4	0	2	7	8
NM_164918.2	0	0	6	6
NM_057449.4	8	8	64	62
NM_001273411.1	0	0	1	1
NR_133077.1	1	0	2	0
NM_001298874.1	0	3	0	0
NM_001273413.1	2	0	0	2
NM_001273418.1	0	0	14	7
NM_057430.4	1397	2498	6265	6570
NM_135553.4	370	368	1070	1065
NM_135555.3	6	6	34	34
NM_001273419.1	0	0	1	1
NM_001201850.1	0	0	0	1
NM_135556.4	2	3	9	8
NM_001201851.2	10	18	118	134
NM_164927.2	0	0	1	1
NM_164928.3	14	16	85	87
NM_135557.4	11	8	41	53
NM_135558.4	10	16	108	95
NM_135559.3	4	6	38	56
NM_135560.3	8	12	66	58
NM_058093.4	28	58	330	337
NM_135561.3	0	0	10	5
NR_124177.1	0	0	2	4
NM_001169468.3	0	0	0	1
NM_001201852.1	0	0	0	1
NM_001038805.2	0	0	0	1
NM_164929.2	1	3	3	2
NM_135564.4	1	2	13	6
NM_001038806.3	0	0	1	0
NM_135571.3	0	0	2	0
NM_164933.3	0	0	18	27
NM_135573.4	0	1	8	4
NM_164934.2	3	5	7	14
NM_001273426.1	0	0	2	0
NM_001273427.1	0	0	4	3
NM_001201856.2	0	0	129	111
NM_135575.2	0	0	2	0
NM_164939.2	0	0	6	0
NM_001273429.1	6	6	3	7
NM_001298881.1	86	149	0	5
NM_001273430.1	1	0	0	0
NM_001273431.1	1	1	0	2
NM_001201859.2	0	6	0	0
NM_001273432.1	3	7	3	4
NM_135594.4	311	984	743	723
NM_135595.3	6	12	17	8
NM_001201860.2	0	1	0	0
NR_073755.1	0	2	2	1
NM_001298883.1	0	3	40	32
NM_079928.2	0	0	0	1
NM_135597.3	3	0	8	10
NR_124182.1	0	12	6	0
NM_135598.4	2	0	0	4
NM_135599.5	14	27	93	91
NM_164941.2	2	0	8	0
NM_135600.3	40	32	182	158
NM_135601.4	7	16	57	45
NM_135602.4	22	50	208	311
NM_135603.3	0	0	2	1
NM_135604.3	0	8	110	114
NM_135605.3	16	21	187	208
NM_135607.3	0	0	2	8
NM_001273433.1	11	9	73	76
NM_164943.2	0	0	3	0
NM_001144342.3	0	0	1	1
NR_124183.1	0	0	5	3
NR_124184.1	0	0	2	3
NM_001032069.2	0	0	0	1
NM_135614.3	0	0	8	2
NM_135615.4	2	2	7	11
NM_001259032.1	1	0	0	0
NM_001038810.2	0	0	2	2
NM_058101.4	16	34	146	175
NM_057988.4	2	2	50	40
NM_058100.4	136	120	782	836
NM_001169474.3	0	2	1	2
NM_001298893.1	0	0	0	1
NM_001298892.1	1	0	1	1
NM_001273438.1	0	0	1	0
NM_080045.4	12	24	90	92
NM_001042889.4	0	1	0	0
NM_143778.5	1	2	0	0
NM_143799.3	2	8	32	20
NM_001259043.2	0	0	2	1
NM_001103675.2	2	0	2	2
NM_001298897.1	0	2	4	5
NM_164955.2	0	0	1	2
NM_001103676.3	0	2	0	0
NM_144308.3	0	0	1	0
NM_135641.4	1	0	7	2
NM_164957.2	4	4	35	26
NM_135643.4	1	0	5	3
NM_001259047.2	0	0	0	3
NM_135645.2	0	4	63	45
NM_078819.5	0	0	17	6
