Geneid	Control_1	Control_2	Treated_1	Treated_2
NM_130656.4	7	6	109	78
NM_001258579.3	2	2	23	25
NM_166968.3	0	0	7	5
NM_001272272.1	1	0	0	1
NR_123782.1	0	0	1	1
NM_001272288.2	0	0	0	2
NM_057973.4	0	0	1	1
NM_130718.5	14	45	130	111
NM_001297918.1	0	0	4	4
NM_001272297.2	0	0	1	1
NM_001169190.2	0	1	2	2
NM_001169192.2	0	0	2	1
NM_131955.2	0	0	2	2
NM_001297939.1	0	0	0	3
NR_123794.1	0	2	1	0
NM_167031.3	0	2	0	0
NM_001103415.2	1	0	3	5
NM_001169205.2	0	1	0	0
NM_132035.3	2	2	81	87
NM_132031.3	2	0	2	12
NR_123807.1	0	0	19	7
NM_001272338.1	0	4	34	32
NM_001103422.2	1	2	2	4
NM_001272350.1	0	0	4	2
NM_001169208.3	1	0	0	1
NM_132125.2	0	0	25	18
NM_001031891.3	0	0	2	2
NM_167121.3	0	0	4	0
NM_001258638.2	0	0	0	3
NM_132214.2	0	0	1	1
NM_132239.3	0	2	0	0
NM_001169234.3	2	2	30	39
NM_001258652.1	11	4	65	56
NM_001272407.2	0	3	6	5
NM_001272429.2	0	0	5	5
NM_132277.3	0	2	2	2
NM_001103447.4	18	25	161	116
NM_001169241.1	0	0	1	0
NM_001272448.2	0	0	0	1
NM_001272449.1	0	0	0	1
NM_167193.2	36	80	324	284
NM_001298132.1	0	0	0	1
NM_001272461.1	0	0	8	8
NM_001042802.2	0	2	0	0
NM_001298146.1	0	0	1	0
NM_001144711.2	0	0	2	2
NM_001316627.1	58	94	940	1025
NM_001272498.2	0	0	0	2
NR_073647.1	0	0	2	0
NM_132461.3	0	0	2	0
NM_001272515.2	0	0	1	6
NM_001103485.3	0	2	11	8
NM_080762.4	3	1	20	18
NM_206692.3	20	20	176	151
NM_001258700.2	0	1	5	3
NM_132543.2	0	2	8	2
NM_078616.4	0	2	5	6
NM_132569.3	23	69	243	243
NM_167335.2	2	0	0	5
NM_080536.4	0	1	1	2
NM_001272567.2	2	0	4	6
NM_001272566.1	0	0	2	0
NM_001298255.1	2	10	15	26
NM_078590.3	11	19	189	215
NM_078591.3	0	0	2	0
NM_001298282.1	0	6	96	98
NM_132704.4	0	0	6	3
NM_001201660.3	0	9	64	49
NM_001258732.2	0	0	0	1
NM_078601.4	1	0	2	0
NM_001201661.2	1	1	4	3
NM_001298333.1	0	0	23	44
NM_001258751.1	3	1	6	1
NR_123916.1	0	0	0	1
NM_001258752.1	0	0	4	2
NM_001298340.1	1	0	1	2
NM_176732.2	1	0	3	2
NM_001298343.1	0	0	1	3
NM_206757.2	0	3	16	10
NM_206758.2	0	0	1	1
NM_001272670.2	1	0	4	4
NM_001298403.1	0	9	30	16
NM_001298411.1	6	7	53	48
NR_123932.1	0	0	2	0
NM_001347807.1	2	8	48	58
NM_078661.4	9	8	162	164
NM_167574.2	0	2	5	2
NM_078669.5	4	8	22	21
NM_001272737.1	0	0	0	2
NM_167594.4	6	6	64	35
NM_001316640.1	0	0	0	1
NM_167596.5	0	0	1	0
NM_001258797.1	0	0	6	0
NM_133083.3	0	0	4	14
NM_001272769.1	2	3	38	40
