"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_001014696.2",0.400896429063044,0.853891136467824,4.83871820241425,0.176470523958552,0.859924303731257,NA
"NM_001169360.2",33.9014988262274,-0.358055842790448,0.6822894382281,-0.524785850005705,0.599732069213327,0.843725361463738
"NM_001038713.4",8.03003203289521,-0.771231816763935,1.2405299155286,-0.621695460230241,0.534142137324764,0.799877850643834
"NM_143657.5",4.87719050398764,-2.57620510129291,1.56800320413322,-1.64298458989248,0.100386121664631,0.305752306154816
"NM_001258487.3",23.6609399202505,-0.927961746959823,0.755201660574242,-1.22876020459783,0.219161726125229,0.503904574249134
"NM_001272130.1",6.04060440608751,0.575236129536651,1.4524231212114,0.396052721232413,0.692066135448379,0.887241831654034
"NM_001014691.3",48.3090355394513,-0.184620783877031,0.554146279443706,-0.333162543403463,0.739011590542276,0.905451528470252
"NM_166780.2",15.7171490981266,-2.07744626691005,0.894114944100489,-2.32346666456854,0.0201540964501844,0.0943148732317221
"NM_143679.4",4.42137985349742,0.41876074639421,1.69750668548121,0.246691662528267,0.805146859525805,0.933631413799965
"NM_001144385.2",0.199474901917286,-0.152569464641248,4.89258212141315,-0.0311838331693002,0.975122932906634,NA
"NM_001103382.2",12.6010990102462,-0.727561545516488,1.01944117042295,-0.713686641883059,0.475420968308048,0.76101129922349
"NM_079891.3",7.21568281898072,0.729107395226584,1.50331937531771,0.484998335814368,0.627677526007173,0.858249968116282
"NR_123741.1",0.599722455904174,1.43512162414959,4.44635828577472,0.322763378907406,0.746874449222831,NA
"NR_123742.1",1.60530588940361,-2.76373014896053,3.0915978721092,-0.893948780950289,0.371349296146462,NA
"NM_001258473.1",0.702266618667004,-4.19112817475204,4.77752264340432,-0.877259719645321,0.380345585453188,NA
"NR_073612.1",0.49998500494553,1.1726871738113,4.80001912370114,0.244308854525371,0.806991626303868,NA
"NM_001258475.2",9.76273556422166,-0.079941837288429,1.15972682803725,-0.0689316098893085,0.94504405729949,0.980888046380737
"NR_073613.1",0.1003863260348,-1.14493925386454,4.9969068888957,-0.229129595432099,0.818768191446626,NA
"NM_001038709.3",5.21184954874165,-0.160330532383048,1.68975443078774,-0.0948839248246884,0.924407025038258,0.975240366336839
"NM_001258476.2",5.81108502440095,-1.81427526587303,1.43368553431873,-1.26546248981661,0.205705586569084,0.483838925477282
"NM_001258477.2",77.3722789392759,0.11710105281232,0.480036993966963,0.243941725917021,0.807275952535419,0.934512488752081
"NM_166720.3",0.1003863260348,-1.14493925386454,4.9969068888957,-0.229129595432099,0.818768191446626,NA
"NM_166724.4",1.59839471564292,2.84941183889517,3.0205025628523,0.943356868469078,0.345498396905178,NA
"NM_001169348.2",11.6324712302768,0.0233293724661833,1.04736747508932,0.0222742953366904,0.982229153144104,0.992877846902431
"NM_175926.3",0.617956792546714,-2.52816820594586,4.59097292501296,-0.550682447324327,0.581851379215925,NA
"NM_175928.3",2.62135239920918,0.21321299785428,2.11409173703848,0.100853238352352,0.919666964150932,NA
"NR_073614.1",2.10269539404451,-0.958286420169521,2.77732011763051,-0.345039959234908,0.730064330153796,NA
"NM_166734.2",0.199474901917286,-0.152569464641248,4.89258212141315,-0.0311838331693002,0.975122932906634,NA
"NR_123743.1",1.2189769986032,0.269978964948482,3.12826742712457,0.0863030323454924,0.931225528009067,NA
"NM_001258479.3",2.02098106822885,-0.595526776018635,2.33395412212902,-0.255157875800659,0.798601164651865,NA
"NM_166736.4",4.94198348389056,0.865063021512126,1.63091637823345,0.530415313168374,0.595824011147608,0.8421047474412
"NM_001258480.1",0.617307917470557,-2.53267184923412,4.59277170517029,-0.551447363774467,0.581327039924409,NA
"NM_166740.2",2.20502834530778,-0.746007429880559,2.4076446523418,-0.309849474321285,0.756675426686499,NA
"NR_123744.2",0.400247553986887,0.851665239243918,4.83880108970803,0.176007490999244,0.860288057355789,NA
"NM_001258481.2",38.096152065016,0.0567955130827418,0.682351862076834,0.0832349352867253,0.933664734765181,0.978350738645802
"NM_001258483.2",0.601020206056488,1.43812008381955,4.4425860031055,0.323712378964472,0.746155798031806,NA
"NM_001297783.1",4.22579820203707,0.299914280318452,1.7270323951374,0.173658746160689,0.862133660606233,0.956918189442878
"NM_143655.4",21.0902353856807,-1.01341717043763,0.77659146414119,-1.30495533009539,0.191908058885992,0.465328580564863
"NR_133502.1",2.10464201927298,-0.941437310484491,2.45895037809263,-0.382861451321661,0.701822494921658,NA
"NM_143656.2",2.05399415463359,-1.68216618180861,2.51093425631671,-0.669936370327823,0.502898353334492,NA
"NM_205866.3",26.5647630348471,0.639602714196419,0.737256200460899,0.867544706706526,0.385643627417981,0.683315298392845
"NM_001258485.2",10.791257354728,-2.05550091211392,1.10291770583513,-1.86369381980091,0.0623647137857179,0.219644946405864
"NM_001103381.3",0.200772652069601,-0.14406464189571,4.89195516890421,-0.0294492972485641,0.976506256316315,NA
"NM_001272122.2",0.718343118581514,-1.52814404134054,4.2595319509639,-0.358758675585174,0.719775629498606,NA
"NM_205871.3",0.299861227952087,0.435174742559101,4.85676122988363,0.0896018399837061,0.928603622194827,NA
"NM_166749.2",0.1003863260348,-1.14493925386454,4.9969068888957,-0.229129595432099,0.818768191446626,NA
"NM_166752.2",0.200123776993444,-0.148311874169828,4.89226781141807,-0.0303155673169982,0.975815381355459,NA
"NM_001272123.1",30.2335051957038,-0.541754339392224,0.660353859759693,-0.820400049739047,0.411988087138024,0.706658535717813
"NM_205872.2",1.21767924845089,0.267338348094323,3.11179202574291,0.0859113802859299,0.931536864800847,NA
"NM_166753.3",4.53784267944673,0.671342631190887,1.67140403081427,0.401663881870516,0.687931409057053,0.884896278727966
"NM_001272124.1",0.29921235287593,0.432246009339612,4.85690650680298,0.0889961560376285,0.929084965036887,NA
"NM_001201585.2",0.0997374509586432,-1.1496712035676,4.99724727780856,-0.230060899462187,0.818044447683655,NA
